Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom   
2016-05,1.78,-0.61,-1.66,-1.09,-2.48,0.01,1.42
2016-06,-0.05,0.45,-1.48,1.4,1.94,0.02,4.13
2016-07,3.95,2.48,-1.32,1.26,-1.18,0.02,-3.34
2016-08,0.49,1.68,3.18,-1.85,-0.34,0.02,-3.49
2016-09,0.25,1.85,-1.24,-2.21,0.03,0.02,0.19
2016-10,-2.02,-4.02,4.09,0.93,0.28,0.02,0.6
2016-11,4.86,7.07,8.21,-0.18,3.7,0.01,-4.62
2016-12,1.81,0.41,3.53,1.22,-0.23,0.03,-0.26
2017-01,1.94,-1.46,-2.75,-0.49,-0.99,0.04,-0.93
2017-02,3.57,-2.22,-1.67,0.47,-1.83,0.04,-1.65
2017-03,0.17,0.74,-3.35,0.61,-0.94,0.03,-1.02
2017-04,1.09,0.48,-2.13,1.9,-1.6,0.05,0.48
2017-05,1.06,-3.06,-3.78,0.95,-1.79,0.06,1.48
2017-06,0.78,2.58,1.48,-2.22,0.0,0.06,-0.09
2017-07,1.87,-1.69,-0.31,-0.64,-0.2,0.07,1.68
2017-08,0.16,-1.82,-2.09,0.14,-2.38,0.09,3.26
2017-09,2.51,4.78,3.14,-1.47,1.69,0.09,-1.32
2017-10,2.25,-1.94,0.2,0.93,-3.25,0.09,4.27
2017-11,3.12,-0.33,-0.03,3.16,-0.05,0.08,-0.87
2017-12,1.06,-1.07,0.06,0.74,1.69,0.09,-1.54
2018-01,5.57,-3.18,-1.29,-0.76,-0.96,0.12,4.05
2018-02,-3.65,0.32,-1.04,0.52,-2.37,0.11,3.58
2018-03,-2.35,3.59,-0.21,-0.46,0.01,0.11,-1.13
2018-04,0.28,0.93,0.54,-2.42,1.3,0.14,0.36
2018-05,2.65,4.73,-3.2,-2.04,-1.5,0.14,3.89
2018-06,0.48,0.8,-2.34,0.79,0.24,0.14,-2.35
2018-07,3.19,-1.93,0.47,1.56,0.35,0.16,-1.41
2018-08,3.44,0.64,-3.94,-0.31,-2.7,0.16,5.29
2018-09,0.06,-2.48,-1.7,0.63,1.29,0.15,0.04
2018-10,-7.68,-4.46,3.4,0.94,3.59,0.19,-1.99
2018-11,1.69,-0.77,0.3,-0.55,0.39,0.18,-1.37
2018-12,-9.57,-2.88,-1.84,-0.02,0.21,0.2,2.11
2019-01,8.4,3.03,-0.46,-0.8,-1.51,0.21,-8.68
2019-02,3.4,1.74,-2.67,0.12,-1.59,0.18,0.86
2019-03,1.1,-3.51,-4.17,0.9,-0.95,0.19,2.21
2019-04,3.97,-1.17,2.15,1.61,-2.22,0.21,-2.97
2019-05,-6.94,-1.59,-2.37,-0.46,1.77,0.21,7.56
2019-06,6.93,0.37,-0.71,0.9,-0.44,0.18,-2.3
2019-07,1.19,-1.78,0.48,-0.08,0.36,0.19,2.89
2019-08,-2.58,-3.24,-4.78,0.56,-0.68,0.16,6.92
2019-09,1.43,0.27,6.75,1.84,3.37,0.18,-6.81
2019-10,2.06,0.26,-1.91,0.44,-0.96,0.16,0.15
2019-11,3.87,0.44,-2.02,-1.59,-1.24,0.12,-2.66
2019-12,2.77,0.97,1.75,0.01,1.24,0.14,-1.77
2020-01,-0.11,-4.38,-6.25,-1.17,-2.32,0.13,5.98
2020-02,-8.13,0.04,-3.81,-1.47,-2.51,0.12,-0.4
2020-03,-13.39,-8.28,-13.87,-1.57,1.24,0.13,7.97
2020-04,13.65,2.56,-1.33,2.72,-1.0,0.0,-5.23
2020-05,5.58,1.97,-4.88,0.95,-3.26,0.01,0.43
2020-06,2.46,1.96,-2.2,0.09,0.54,0.01,-0.73
2020-07,5.77,-3.2,-1.41,0.41,1.02,0.01,7.61
2020-08,7.63,-0.89,-2.97,4.28,-1.19,0.01,0.55
2020-09,-3.63,0.01,-2.71,-1.36,-1.85,0.01,3.12
2020-10,-2.1,4.64,4.25,-0.83,-0.78,0.01,-3.05
2020-11,12.47,7.11,2.09,-2.2,1.4,0.01,-12.43
2020-12,4.63,4.79,-1.51,-1.96,-0.12,0.01,-2.32
2021-01,-0.03,6.94,3.01,-3.78,4.94,0.01,4.5
2021-02,2.78,4.54,7.15,0.39,-1.94,0.0,-7.89
2021-03,3.08,-0.88,7.39,6.36,3.42,0.0,-6.14
2021-04,4.93,-3.16,-0.95,2.44,-2.7,0.0,1.16
2021-05,0.29,1.22,7.09,2.45,3.04,0.0,0.88
2021-06,2.75,-0.34,-7.87,-2.14,-0.94,0.0,2.2
2021-07,1.27,-4.61,-1.78,5.46,-0.52,0.0,-2.28
2021-08,2.91,-0.68,-0.15,-0.28,-1.79,0.0,2.45
2021-09,-4.37,1.12,5.08,-1.96,2.1,0.0,1.49
2021-10,6.65,-2.7,-0.49,1.66,-1.45,0.0,3.19
2021-11,-1.55,-1.77,-0.45,7.2,1.73,0.0,0.88
2021-12,3.1,-0.8,3.26,4.91,4.4,0.01,-2.6
2022-01,-6.25,-4.06,12.75,0.84,7.72,0.0,-2.6
